Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
PLTR,Palantir Technologies Inc.,25.21,+1.88,+8.06%,173.633M,57.265M,56.142B,280.11
MARA,"Marathon Digital Holdings, Inc.",20.67,+3.15,+17.98%,86.431M,62.781M,5.641B,19.50
TSLA,"Tesla, Inc.",184.76,+3.57,+1.97%,83.965M,101.399M,589.237B,47.13
NIO,NIO Inc.,5.69,+0.12,+2.15%,74.888M,53.915M,11.875B,N/A
AAPL,Apple Inc.,181.71,-1.67,-0.91%,76.25M,63.566M,2.786T,28.26
SOFI,"SoFi Technologies, Inc.",7.16,+0.20,+2.87%,49.6M,51.098M,7.564B,N/A
GME,GameStop Corp.,16.31,-0.16,-0.97%,47.784M,4.802M,4.994B,815.50
AAL,American Airlines Group Inc.,14.65,+0.80,+5.78%,46.371M,30.488M,9.612B,20.63
AMD,"Advanced Micro Devices, Inc.",155.78,+5.18,+3.44%,44.245M,64.301M,251.789B,225.77
LCID,"Lucid Group, Inc.",3.0500,+0.2650,+9.52%,46.248M,26.525M,7.037B,N/A
TCN,Tricon Residential Inc.,11.25,+0.02,+0.18%,36.622M,6.92M,3.067B,27.44
PFE,Pfizer Inc.,28.16,+0.35,+1.26%,52.131M,41.56M,159.457B,N/A
NVDA,NVIDIA Corporation,921.40,+33.51,+3.77%,36.943M,53.184M,2.303T,77.49
AMZN,"Amazon.com, Inc.",188.70,+2.49,+1.34%,33.943M,41.895M,1.964T,52.86
MPW,"Medical Properties Trust, Inc.",4.5000,-0.3700,-7.60%,31.678M,18.636M,2.707B,N/A
DNA,"Ginkgo Bioworks Holdings, Inc.",0.9881,+0.0331,+3.47%,30.669M,30.901M,2.177B,N/A
RIVN,"Rivian Automotive, Inc.",10.33,+0.26,+2.58%,30.465M,46.885M,10.282B,N/A
CCL,Carnival Corporation & plc,14.60,+0.16,+1.11%,29.195M,30.704M,19.126B,45.63
RIOT,"Riot Platforms, Inc.",10.77,+0.35,+3.36%,28.166M,26.595M,3.11B,25.64
INTC,Intel Corporation,30.97,+0.19,+0.63%,34.265M,49.766M,134.021B,31.93
F,Ford Motor Company,12.50,+0.07,+0.56%,29.073M,51.332M,49.67B,12.89
CLSK,"CleanSpark, Inc.",17.43,+1.28,+7.93%,26.256M,38.918M,3.929B,N/A
WBD,"Warner Bros. Discovery, Inc.",7.96,-0.01,-0.13%,29.043M,30.621M,19.503B,N/A
SNAP,Snap Inc.,16.84,+0.59,+3.63%,28.043M,32.449M,27.635B,N/A
BAC,Bank of America Corporation,37.69,+0.44,+1.18%,28.189M,39.712M,294.75B,13.00
